ID	M	e_M	logR	e_logR	logL	e_logL	Teff	e_Teff	I_M0	e_I_M0	V_M0	e_V_M0	VI	e_VI	W	e_W
OGLE-BLG-RRLYR-01573	0.621	0.050	0.706	0.019	1.574	0.042	6340	100	0.350	0.087	0.890	0.099	0.553	0.028	-0.519	0.077	
OGLE-BLG-RRLYR-01591	0.549	0.049	0.685	0.019	1.683	0.042	6900	100	0.149	0.087	0.583	0.098	0.429	0.028	-0.518	0.077	
OGLE-BLG-RRLYR-01600	0.614	0.050	0.726	0.019	1.588	0.042	6260	100	0.282	0.087	0.851	0.099	0.574	0.028	-0.615	0.078	
OGLE-BLG-RRLYR-01609	0.615	0.053	0.760	0.020	1.750	0.043	6600	100	-0.077	0.089	0.43	0.10	0.505	0.029	-0.860	0.080	
OGLE-BLG-RRLYR-01611	0.600	0.063	0.680	0.023	1.625	0.045	6730	110	0.276	0.093	0.74	0.10	0.467	0.030	-0.446	0.089	
OGLE-BLG-RRLYR-01614	0.638	0.050	0.804	0.019	1.788	0.044	6410	110	-0.179	0.092	0.33	0.11	0.521	0.030	-0.991	0.079	
OGLE-BLG-RRLYR-01620	0.695	0.053	0.747	0.020	1.664	0.043	6370	100	0.152	0.090	0.67	0.10	0.544	0.029	-0.698	0.081	
OGLE-BLG-RRLYR-01636	0.570	0.051	0.705	0.020	1.579	0.044	6390	100	0.310	0.091	0.83	0.10	0.536	0.029	-0.529	0.079	
OGLE-BLG-RRLYR-01651	0.666	0.062	0.725	0.022	1.687	0.046	6600	110	0.117	0.093	0.58	0.11	0.491	0.030	-0.648	0.086	
OGLE-BLG-RRLYR-01653	0.785	0.064	0.747	0.023	1.718	0.046	6560	110	0.083	0.092	0.58	0.10	0.508	0.029	-0.707	0.086	
OGLE-BLG-RRLYR-01656	0.654	0.054	0.715	0.019	1.675	0.043	6640	100	0.137	0.089	0.62	0.10	0.490	0.029	-0.622	0.079	
OGLE-BLG-RRLYR-01672	0.658	0.063	0.807	0.024	1.813	0.043	6470	120	-0.242	0.092	0.29	0.10	0.530	0.033	-1.061	0.096	
OGLE-BLG-RRLYR-01677	0.648	0.050	0.732	0.019	1.627	0.042	6348	99	0.223	0.087	0.759	0.099	0.550	0.028	-0.637	0.078	
OGLE-BLG-RRLYR-01686	0.593	0.059	0.725	0.022	1.660	0.044	6520	110	0.143	0.090	0.64	0.10	0.512	0.029	-0.655	0.084	
OGLE-BLG-RRLYR-01688	0.598	0.058	0.722	0.021	1.674	0.045	6590	100	0.114	0.092	0.62	0.10	0.502	0.029	-0.663	0.085	
OGLE-BLG-RRLYR-01692	0.566	0.050	0.702	0.019	1.700	0.042	6849	99	0.095	0.087	0.549	0.099	0.446	0.028	-0.595	0.077	
OGLE-BLG-RRLYR-01693	0.651	0.060	0.709	0.021	1.626	0.043	6490	110	0.244	0.089	0.75	0.10	0.520	0.031	-0.563	0.084	
OGLE-BLG-RRLYR-01694	0.562	0.050	0.737	0.019	1.733	0.042	6710	100	-0.018	0.087	0.463	0.099	0.475	0.028	-0.752	0.077	
OGLE-BLG-RRLYR-01706	0.644	0.050	0.745	0.019	1.625	0.042	6260	99	0.202	0.087	0.766	0.099	0.574	0.028	-0.695	0.077	
OGLE-BLG-RRLYR-01708	0.621	0.055	0.706	0.020	1.654	0.043	6630	100	0.174	0.089	0.66	0.10	0.491	0.029	-0.588	0.081	
OGLE-BLG-RRLYR-01713	0.581	0.056	0.697	0.020	1.635	0.043	6640	100	0.212	0.089	0.71	0.10	0.492	0.029	-0.548	0.081	
OGLE-BLG-RRLYR-01722	0.663	0.060	0.771	0.022	1.732	0.044	6450	120	-0.047	0.092	0.49	0.10	0.539	0.031	-0.880	0.089	
OGLE-BLG-RRLYR-01723	0.671	0.052	0.724	0.019	1.662	0.042	6530	100	0.171	0.088	0.696	0.099	0.517	0.028	-0.635	0.078	
OGLE-BLG-RRLYR-01727	0.655	0.054	0.747	0.021	1.657	0.044	6340	100	0.148	0.091	0.69	0.10	0.551	0.028	-0.708	0.082	
OGLE-BLG-RRLYR-01734	0.616	0.060	0.698	0.021	1.640	0.044	6660	100	0.221	0.090	0.71	0.10	0.487	0.029	-0.530	0.082	
OGLE-BLG-RRLYR-01737	0.575	0.050	0.719	0.019	1.703	0.042	6720	100	0.057	0.087	0.538	0.098	0.473	0.028	-0.682	0.077	
OGLE-BLG-RRLYR-01763	0.593	0.062	0.733	0.022	1.749	0.044	6780	110	-0.028	0.093	0.43	0.10	0.455	0.031	-0.736	0.091	
OGLE-BLG-RRLYR-01774	0.604	0.059	0.705	0.021	1.636	0.043	6570	110	0.218	0.089	0.71	0.10	0.502	0.029	-0.562	0.083	
OGLE-BLG-RRLYR-01777	0.700	0.057	0.727	0.022	1.631	0.044	6380	110	0.232	0.090	0.76	0.10	0.546	0.029	-0.623	0.084	
