ID	M	e_M	logR	e_logR	logL	e_logL	Teff	e_Teff	I_M0	e_I_M0	V_M0	e_V_M0	VI	e_VI	W	e_W
OGLE-LMC-RRLYR-00864	0.753	0.050	0.778	0.019	1.721	0.042	6350	100	0.020	0.087	0.564	0.099	0.552	0.028	-0.841	0.077	
OGLE-LMC-RRLYR-00867	0.691	0.051	0.768	0.019	1.719	0.042	6410	100	0.008	0.087	0.527	0.099	0.534	0.028	-0.825	0.078	
OGLE-LMC-RRLYR-00874	0.761	0.068	0.778	0.025	1.729	0.044	6380	120	0.014	0.092	0.56	0.10	0.548	0.033	-0.837	0.096	
OGLE-LMC-RRLYR-00879	0.689	0.051	0.757	0.019	1.673	0.042	6330	100	0.107	0.087	0.662	0.099	0.559	0.028	-0.764	0.078	
OGLE-LMC-RRLYR-00880	0.717	0.059	0.805	0.022	1.792	0.043	6400	110	-0.173	0.091	0.35	0.10	0.537	0.030	-1.007	0.088	
OGLE-LMC-RRLYR-00888	0.698	0.052	0.768	0.020	1.741	0.042	6480	100	-0.035	0.088	0.485	0.099	0.523	0.028	-0.853	0.081	
OGLE-LMC-RRLYR-00889	0.672	0.050	0.802	0.019	1.763	0.042	6333	99	-0.116	0.087	0.431	0.099	0.552	0.028	-0.977	0.078	
OGLE-LMC-RRLYR-00890	0.603	0.055	0.682	0.020	1.640	0.042	6770	100	0.235	0.088	0.704	0.099	0.461	0.028	-0.480	0.080	
OGLE-LMC-RRLYR-00900	0.694	0.051	0.770	0.019	1.694	0.043	6330	100	0.066	0.089	0.60	0.10	0.550	0.028	-0.793	0.078	
OGLE-LMC-RRLYR-00903	0.655	0.057	0.745	0.022	1.673	0.044	6420	110	0.134	0.091	0.65	0.10	0.533	0.031	-0.699	0.086	
OGLE-LMC-RRLYR-00907	0.615	0.064	0.730	0.024	1.685	0.046	6600	120	0.106	0.092	0.61	0.10	0.500	0.032	-0.666	0.089	
OGLE-LMC-RRLYR-00912	0.677	0.052	0.741	0.020	1.696	0.042	6530	100	0.105	0.087	0.607	0.099	0.509	0.028	-0.687	0.079	
OGLE-LMC-RRLYR-00914	0.626	0.052	0.713	0.019	1.659	0.042	6610	100	0.166	0.088	0.667	0.099	0.498	0.028	-0.608	0.079	
OGLE-LMC-RRLYR-00916	0.579	0.051	0.732	0.019	1.752	0.042	6810	100	-0.029	0.087	0.431	0.098	0.452	0.028	-0.730	0.079	
OGLE-LMC-RRLYR-00917	0.681	0.050	0.737	0.019	1.638	0.042	6340	100	0.218	0.087	0.754	0.099	0.550	0.028	-0.648	0.077	
OGLE-LMC-RRLYR-00920	0.652	0.051	0.748	0.019	1.691	0.042	6460	100	0.082	0.087	0.599	0.098	0.523	0.028	-0.734	0.078	
OGLE-LMC-RRLYR-00931	0.612	0.050	0.736	0.019	1.603	0.042	6248	99	0.244	0.088	0.81	0.10	0.581	0.028	-0.665	0.077	
OGLE-LMC-RRLYR-00932	0.666	0.051	0.770	0.019	1.697	0.042	6320	100	0.026	0.087	0.582	0.099	0.558	0.028	-0.840	0.078	
OGLE-LMC-RRLYR-00935	0.688	0.052	0.733	0.019	1.700	0.042	6610	100	0.082	0.087	0.590	0.099	0.501	0.028	-0.694	0.078	
